날짜,구글 A_Predicted,구글 A_Actual
2007-01-17,13.155859,12.385231018066406
2007-01-18,13.146947,12.149869918823242
2007-01-19,13.137895,12.197690963745115
2007-01-20,13.125602,12.197690963745115
2007-01-21,13.113852,12.197690963745115
2007-01-22,13.10217,11.975777626037598
2007-01-23,13.09154,11.931196212768556
2007-01-24,13.078784,12.429811477661133
2007-01-25,13.066742,12.15634536743164
2007-01-26,13.051943,12.349366188049316
2007-01-27,13.036442,12.349366188049316
2007-01-28,13.018589,12.349366188049316
2007-01-29,12.996157,12.265433311462402
2007-01-30,12.971034,12.31151008605957
2007-01-31,12.946688,12.490334510803224
2007-02-01,12.925128,11.998443603515623
2007-02-02,12.919682,11.992215156555176
2007-02-03,12.911348,11.992215156555176
2007-02-04,12.897158,11.992215156555176
2007-02-05,12.885568,11.635064125061035
2007-02-06,12.883194,11.742657661437988
2007-02-07,12.882482,11.706045150756836
2007-02-08,12.884346,11.731449127197266
2007-02-09,12.884564,11.503809928894045
2007-02-10,12.87698,11.503809928894045
2007-02-11,12.867712,11.503809928894045
2007-02-12,12.857642,11.41414737701416
2007-02-13,12.844877,11.434321403503418
2007-02-14,12.831993,11.604430198669434
2007-02-15,12.8249855,11.493348121643066
2007-02-16,12.823148,11.704301834106444
2007-02-17,12.818607,11.704301834106444
2007-02-18,12.817695,11.704301834106444
2007-02-20,12.820893,11.758098602294922
2007-02-21,12.819664,11.85174560546875
2007-02-22,12.81745,11.851496696472168
2007-02-23,12.810576,11.72123908996582
2007-02-24,12.806421,11.72123908996582
2007-02-25,12.8011055,11.72123908996582
2007-02-26,12.796293,11.579524040222168
2007-02-27,12.793428,11.177043914794922
2007-02-28,12.796068,11.193979263305664
2007-03-01,12.797329,11.163593292236328
2007-03-02,12.798479,10.925743103027344
2007-03-03,12.800515,10.925743103027344
2007-03-04,12.803116,10.925743103027344
2007-03-05,12.80174,10.98227882385254
2007-03-06,12.797385,11.39571762084961
2007-03-07,12.794021,11.34814739227295
2007-03-08,12.793211,11.325235366821287
2007-03-09,12.79075,11.28139877319336
2007-03-10,12.782257,11.28139877319336
2007-03-11,12.778046,11.28139877319336
2007-03-12,12.775437,11.325982093811035
2007-03-13,12.7823105,11.034083366394045
2007-03-14,12.79089,11.157865524291992
2007-03-15,12.798978,11.112785339355469
2007-03-16,12.8036175,10.979787826538086
2007-03-17,12.803295,10.979787826538086
2007-03-18,12.808827,10.979787826538086
2007-03-19,12.815824,11.13868808746338
2007-03-20,12.822489,11.09012222290039
2007-03-21,12.831293,11.370811462402344
2007-03-22,12.845555,11.507545471191406
2007-03-23,12.853566,11.502314567565918
2007-03-24,12.859065,11.502314567565918
2007-03-25,12.864498,11.502314567565918
2007-03-26,12.8657,11.58126735687256
2007-03-27,12.873273,11.546897888183594
2007-03-28,12.878864,11.503561973571776
2007-03-29,12.885022,11.479652404785156
2007-03-30,12.887262,11.41090965270996
2007-03-31,12.893335,11.41090965270996
2007-04-01,12.902757,11.41090965270996
2007-04-02,12.918348,11.420125961303713
2007-04-03,12.933236,11.770552635192873
2007-04-04,12.947772,11.731201171875
2007-04-05,12.971466,11.74340534210205
2007-04-06,12.992678,11.74340534210205
2007-04-07,13.002212,11.74340534210205
2007-04-08,13.01449,11.74340534210205
2007-04-09,13.026649,11.661214828491213
2007-04-10,13.039254,11.618626594543455
2007-04-11,13.0547285,11.569561958312988
2007-04-12,13.068333,11.640791893005373
2007-04-13,13.083871,11.613394737243652
2007-04-14,13.100713,11.613394737243652
2007-04-15,13.118883,11.613394737243652
2007-04-16,13.136777,11.812146186828612
2007-04-17,13.156156,11.77553367614746
2007-04-18,13.178255,11.855481147766112
2007-04-19,13.2053795,11.746891975402832
2007-04-20,13.229516,12.016623497009276
2007-04-21,13.25681,12.016623497009276
2007-04-22,13.283899,12.016623497009276
2007-04-23,13.310842,11.931943893432615
2007-04-24,13.33724,11.893338203430176
2007-04-25,13.367177,11.904794692993164
2007-04-26,13.393451,11.984247207641602
2007-04-27,13.42203,11.93019962310791
2007-04-28,13.450283,11.93019962310791
2007-04-29,13.477435,11.93019962310791
2007-04-30,13.504137,11.740166664123535
2007-05-01,13.534085,11.68089199066162
2007-05-02,13.557839,11.600692749023438
2007-05-03,13.579847,11.786243438720703
2007-05-04,13.58667,11.733692169189451
2007-05-05,13.594709,11.733692169189451
2007-05-06,13.60277,11.733692169189451
2007-05-07,13.610847,11.63780403137207
2007-05-08,13.618764,11.626346588134766
2007-05-09,13.624874,11.68711757659912
2007-05-10,13.625724,11.493348121643066
2007-05-11,13.628568,11.624603271484377
2007-05-12,13.635534,11.624603271484377
2007-05-13,13.642485,11.624603271484377
2007-05-14,13.649458,11.501070022583008
2007-05-15,13.655079,11.406925201416016
2007-05-16,13.659925,11.77080249786377
2007-05-17,13.6617155,11.729705810546877
2007-05-18,13.657397,11.713767051696776
2007-05-19,13.651425,11.713767051696776
2007-05-20,13.645342,11.713767051696776
2007-05-21,13.639133,11.72074031829834
2007-05-22,13.632017,11.85174560546875
2007-05-23,13.625059,11.804673194885254
2007-05-24,13.619902,11.813639640808104
2007-05-25,13.6130295,12.042525291442873
2007-05-26,13.607225,12.042525291442873
2007-05-27,13.601368,12.042525291442873
2007-05-29,13.593088,12.131937980651855
2007-05-30,13.581056,12.41810703277588
2007-05-31,13.570553,12.400921821594238
2007-06-01,13.5667715,12.46293830871582
2007-06-02,13.56337,12.46293830871582
2007-06-03,13.559902,12.46293830871582
2007-06-04,13.556403,12.62905979156494
2007-06-05,13.552588,12.92220401763916
2007-06-06,13.544315,12.907508850097656
2007-06-07,13.53309,12.828058242797852
2007-06-08,13.515362,12.83876895904541
2007-06-09,13.504736,12.83876895904541
2007-06-10,13.494148,12.83876895904541
2007-06-11,13.4836855,12.7354097366333
2007-06-12,13.471074,12.571776390075684
2007-06-13,13.451605,12.583483695983888
2007-06-14,13.435398,12.52370834350586
2007-06-15,13.422864,12.599671363830566
2007-06-16,13.415807,12.599671363830566
2007-06-17,13.4086685,12.599671363830566
2007-06-18,13.401534,12.83154582977295
2007-06-19,13.396284,12.80937957763672
2007-06-20,13.392351,12.701287269592283
2007-06-21,13.380159,12.804398536682127
2007-06-22,13.371633,13.07512664794922
2007-06-23,13.364065,13.07512664794922
2007-06-24,13.356401,13.07512664794922
2007-06-25,13.348668,13.135897636413574
2007-06-26,13.341891,13.206629753112791
2007-06-27,13.334568,13.107752799987791
2007-06-28,13.331467,13.075872421264648
2007-06-29,13.328721,13.018340110778809
2007-06-30,13.3296795,13.018340110778809
2007-07-01,13.33066,13.018340110778809
2007-07-02,13.326228,13.20961856842041
2007-07-03,13.323866,13.308245658874512
2007-07-05,13.320006,13.489809036254885
2007-07-06,13.307563,13.434269905090332
2007-07-07,13.294514,13.434269905090332
2007-07-08,13.288052,13.434269905090332
2007-07-09,13.281606,13.512971878051758
2007-07-10,13.275824,13.532400131225586
2007-07-11,13.275566,13.560543060302734
2007-07-12,13.27162,13.58196258544922
2007-07-13,13.269639,13.752068519592283
2007-07-14,13.267591,13.752068519592283
2007-07-15,13.266214,13.752068519592283
2007-07-16,13.264741,13.772741317749023
2007-07-17,13.267056,13.822803497314451
2007-07-18,13.266068,13.685819625854492
2007-07-19,13.263673,13.663155555725098
2007-07-20,13.257926,12.954083442687988
2007-07-21,13.259044,12.954083442687988
2007-07-22,13.2594185,12.954083442687988
2007-07-23,13.259716,12.764549255371094
2007-07-24,13.260289,12.801657676696776
2007-07-25,13.260759,12.696057319641112
2007-07-26,13.261954,12.652223587036133
2007-07-27,13.278888,12.749107360839844
2007-07-28,13.30288,12.749107360839844
2007-07-29,13.32803,12.749107360839844
2007-07-30,13.353196,12.85421085357666
2007-07-31,13.379976,12.702034950256348
2007-08-01,13.401173,12.77525806427002
2007-08-02,13.435497,12.727190971374512
2007-08-03,13.471099,12.527694702148438
2007-08-04,13.51156,12.527694702148438
